#incident_id,date,n_killed,n_injured,latitude,longitude,guns_involved,district,0,0
484287,4,14,13,1,4,38.0485,-84.453,0,0
484317,4,18,13,4,0,41.1102,-81.4771,1,34
484333,4,21,13,5,0,47.303,-122.31,2,30
484351,4,22,13,0,4,41.7906,-87.6418,0,6
485746,4,22,13,0,5,29.8736,-90.0568,3,87
485811,4,24,13,6,1,39.5417,-90.3301,2,100
489185,4,25,13,0,4,41.2927,-82.2347,1,56
485821,4,27,13,1,3,29.4035,-82.3647,0,20
485874,4,28,13,0,5,35.2479,-80.726,0,99
485885,4,28,13,1,3,39.8564,-75.3587,2,0
485979,4,28,13,2,2,35.6141,-88.815,2,80
984353,5,2,13,1,0,39.3167,-76.6085,1,43
486005,5,2,13,0,5,40.7268,-74.2116,0,28
486027,5,4,13,0,4,35.5076,-78.3221,1,28
486056,5,5,13,0,5,37.4717,-122.14,0,24
486068,5,6,13,0,4,40.3091,-78.9124,0,0
486109,5,10,13,3,1,33.8447,-118.307,0,64
486142,5,11,13,5,0,39.1149,-85.8929,1,59
486121,5,11,13,0,4,40.0505,-75.1554,0,0
486244,5,11,13,0,4,40.7207,-74.0593,1,31
486153,5,12,13,0,5,33.4473,-111.503,0,16
486209,5,12,13,0,19,29.9861,-90.0595,1,97
486316,5,13,13,0,4,39.1788,-84.5124,1,33
1007785,5,14,13,0,2,40.0521,-74.9578,1,7
486327,5,15,13,1,4,42.3613,-83.1787,0,11
486334,5,16,13,0,4,39.9204,-75.2296,1,0
873575,5,18,13,1,0,40.673,-73.7881,1,32
486611,5,18,13,0,4,37.0177,-78.1562,1,75
486586,5,19,13,2,2,35.079,-89.988,0,91
486605,5,19,13,0,4,42.3481,-83.0613,1,6
486617,5,20,13,0,4,41.8968,-87.7556,0,8
486623,5,23,13,2,2,36.3474,-83.2849,1,35
486971,5,24,13,2,2,35.3998,-118.952,0,34
486977,5,25,13,1,3,43.034,-83.7182,1,34
486998,5,25,13,1,4,37.0377,-76.3859,0,92
487052,5,28,13,1,3,35.0848,-89.9678,0,91
487082,5,29,13,0,4,41.8859,-87.6251,0,5
487088,5,31,13,0,4,33.749,-84.4211,0,56
487261,6,1,13,0,4,43.092,-87.94,0,10
489314,6,1,13,2,2,38.1472,-122.24,0,14
487266,6,2,13,0,4,39.8401,-86.1289,0,96
487271,6,2,13,0,7,36.8459,-76.1171,0,82
487435,6,2,13,0,7,33.0354,-85.0244,0,132
489581,6,7,13,6,1,34.026,-118.461,2,50
487645,6,9,13,0,4,39.955,-76.7412,0,0
487659,6,10,13,0,6,38.6647,-90.2506,1,76
487670,6,10,13,1,4,41.7904,-87.649,1,6
487715,6,14,13,0,5,35.9689,-79.9787,0,60
488992,6,15,13,1,3,41.8173,-71.4516,1,9
487833,6,15,13,0,4,36.1646,-86.7771,1,51
487891,6,15,13,1,3,29.6754,-95.5499,0,146
488134,6,16,13,1,3,41.7513,-87.6027,0,5
488426,6,21,13,1,3,41.9335,-87.7445,0,39
488505,6,21,13,0,6,36.8571,-76.2735,0,89
488547,6,21,13,0,5,35.5744,-77.3873,1,24
488833,6,22,13,1,4,39.2991,-76.5783,0,45
488970,6,22,13,0,4,41.8217,-71.4496,0,9
489061,6,23,13,1,4,35.0221,-85.2697,0,28
489096,6,23,13,1,3,38.4655,-121.459,0,9
489105,6,23,13,1,8,39.0891,-94.5518,0,23
489121,6,23,13,0,4,30.0165,-90.0689,1,97
489129,6,23,13,1,4,36.841,-76.1371,0,85
